# q1, q2, q3, alfa1, beta1, alfa2, beta2, vol, fibstretch 
  1.21981695e+00,  9.35951438e-01,  1.27467026e+00,  1.60662969e+00,  4.86896942e+00,  5.83287640e-03,  4.72216204e+01,  1.04827442e+02,  1.13861819e+00
  1.10277747e+00,  1.23758399e+00,  1.19651826e+00,  1.15042576e+00,  4.82973320e+00,  5.84686301e-03,  4.49535542e+01,  1.08817067e+02,  1.14602475e+00
  7.09787246e-01,  7.47858915e-01,  8.67913589e-01,  1.93810636e-01,  4.95816537e+00,  3.67153661e-03,  3.68094087e+01,  1.33989730e+02,  1.19606146e+00
  7.02968293e-01,  1.03623227e+00,  7.33906130e-01,  1.92194260e-01,  4.84587015e+00,  4.42156886e-03,  3.55730759e+01,  1.35165615e+02,  1.19729041e+00
  9.34294707e-01,  1.17243252e+00,  1.28540155e+00,  6.59635728e-01,  4.89562693e+00,  4.72439687e-03,  4.29561195e+01,  1.15773497e+02,  1.15898529e+00
  7.61211757e-01,  1.16072569e+00,  1.01972389e+00,  2.95341934e-01,  4.89399187e+00,  4.12502351e-03,  3.89005109e+01,  1.27565751e+02,  1.18102797e+00
  1.29625039e+00,  1.29852720e+00,  8.73365670e-01,  1.89996680e+00,  4.76097380e+00,  6.56043613e-03,  4.78896199e+01,  1.03039690e+02,  1.13379360e+00
  1.21876094e+00,  1.21022343e+00,  1.15023673e+00,  1.60577820e+00,  4.80976463e+00,  6.24000797e-03,  4.68601174e+01,  1.04899153e+02,  1.13812326e+00
  1.13982097e+00,  1.14687934e+00,  1.05019127e+00,  1.23296941e+00,  4.81649023e+00,  6.01741081e-03,  4.51335875e+01,  1.08002611e+02,  1.14469533e+00
  7.97548530e-01,  1.11355360e+00,  8.36587492e-01,  3.22071484e-01,  4.83756277e+00,  4.88385032e-03,  3.78776377e+01,  1.26587210e+02,  1.18115918e+00
  1.27141351e+00,  7.82749397e-01,  8.49500324e-01,  1.69411534e+00,  4.83886500e+00,  5.88949475e-03,  4.76410162e+01,  1.04265717e+02,  1.13712163e+00
  8.29222151e-01,  8.53365408e-01,  8.36801036e-01,  3.51031112e-01,  4.88195616e+00,  4.73626409e-03,  3.84179987e+01,  1.24951952e+02,  1.17936562e+00
  1.14894358e+00,  8.72529423e-01,  9.63997487e-01,  1.20510292e+00,  4.84814261e+00,  5.75650988e-03,  4.51821884e+01,  1.08222611e+02,  1.14566829e+00
  1.11012816e+00,  1.01035955e+00,  9.05115890e-01,  1.06742493e+00,  4.82091528e+00,  5.85062700e-03,  4.42537384e+01,  1.09765966e+02,  1.14851962e+00
  9.77850436e-01,  1.25717467e+00,  8.77912996e-01,  6.93527051e-01,  4.79005649e+00,  5.82665044e-03,  4.14170006e+01,  1.15496118e+02,  1.15956007e+00
  7.00051456e-01,  1.16617784e+00,  7.23728875e-01,  1.94598972e-01,  4.81603125e+00,  4.61068153e-03,  3.54282488e+01,  1.35227777e+02,  1.19675087e+00
  7.03029381e-01,  9.56395773e-01,  9.02772865e-01,  2.01825003e-01,  4.92484907e+00,  3.73987447e-03,  3.71584766e+01,  1.33591491e+02,  1.19342468e+00
  9.72316006e-01,  8.94507191e-01,  8.44369583e-01,  6.37600781e-01,  4.84759116e+00,  5.37707890e-03,  4.12689440e+01,  1.16432883e+02,  1.16245286e+00
