# a, b, af, bf, as, bs, afs, bfs, alfa1, beta1, alfa2, beta2, vol, fibstretch 
1.45635868e+02,  4.60144051e+00,  9.61503992e+01,  1.51867606e+01,  2.74897177e+02,  5.44634341e+00,  3.52932598e+02,  1.01750925e+01,  1.04795531e+00,  4.74035615e+00,  5.05849539e-03,  4.64388656e+01,  1.10080892e+02,  1.14430216e+00
1.68375697e+02,  6.20705088e+00,  1.46489442e+02,  1.44137435e+01,  3.25979190e+02,  4.67974294e+00,  4.00613860e+02,  1.20023062e+01,  1.58386380e+00,  4.21799031e+00,  1.09601769e-02,  4.29636980e+01,  1.05798242e+02,  1.13639900e+00
1.13697130e+02,  6.03487163e+00,  1.32989438e+02,  1.29238301e+01,  4.00821958e+02,  4.49279142e+00,  4.87118926e+02,  1.43284665e+01,  1.23127609e+00,  4.35868224e+00,  9.09620758e-03,  4.26743823e+01,  1.08907956e+02,  1.14235696e+00
1.26646088e+02,  5.07449951e+00,  9.79647023e+01,  1.26032658e+01,  3.24826963e+02,  5.60645411e+00,  3.66474206e+02,  9.20904493e+00,  1.02061971e+00,  4.64951687e+00,  5.80121097e-03,  4.52187050e+01,  1.10668820e+02,  1.14508624e+00
1.62626234e+02,  5.73838476e+00,  1.40541156e+02,  8.32796119e+00,  3.29218158e+02,  4.06606593e+00,  5.23812388e+02,  8.02862746e+00,  1.05158153e+00,  4.05157702e+00,  1.31150123e-02,  3.85006605e+01,  1.12065240e+02,  1.14808576e+00
1.10606729e+02,  4.97728116e+00,  1.08650318e+02,  8.40177231e+00,  3.90272979e+02,  3.80010665e+00,  4.54502757e+02,  1.25017334e+01,  6.75296273e-01,  4.22056804e+00,  9.77959802e-03,  3.76819338e+01,  1.18334527e+02,  1.16047472e+00
1.52978394e+02,  5.69502589e+00,  1.42670257e+02,  1.01089709e+01,  3.93968869e+02,  3.80567149e+00,  4.63204789e+02,  1.27037641e+01,  1.11629112e+00,  4.02913143e+00,  1.32174668e-02,  3.86688353e+01,  1.11216193e+02,  1.14712588e+00
1.83893879e+02,  4.30397717e+00,  1.07998617e+02,  1.07374411e+01,  4.35723159e+02,  6.03328490e+00,  3.36303744e+02,  1.00164090e+01,  1.13377375e+00,  4.23461433e+00,  8.60482768e-03,  4.27942212e+01,  1.10307332e+02,  1.14326320e+00
1.21766395e+02,  5.00233098e+00,  8.94756405e+01,  1.21899363e+01,  3.19718352e+02,  6.44254917e+00,  3.07782433e+02,  1.08833433e+01,  1.02583904e+00,  4.82292245e+00,  4.63477027e-03,  4.74082582e+01,  1.10165647e+02,  1.14335171e+00
1.22830325e+02,  4.23032320e+00,  1.36018508e+02,  1.31205646e+01,  2.66324490e+02,  5.20816382e+00,  4.97840487e+02,  9.95969318e+00,  8.75822263e-01,  4.72477637e+00,  5.22119479e-03,  4.53324676e+01,  1.12453808e+02,  1.14728228e+00
1.52907921e+02,  5.02018454e+00,  9.61458478e+01,  1.05416992e+01,  4.25441579e+02,  4.08491537e+00,  3.00878721e+02,  1.23822611e+01,  9.39485175e-01,  4.10585969e+00,  1.07184621e-02,  3.88883665e+01,  1.13590219e+02,  1.15236308e+00
1.71913468e+02,  6.52201613e+00,  9.22487047e+01,  9.91593555e+00,  3.63905885e+02,  4.27563345e+00,  5.16761146e+02,  1.09117674e+01,  1.38480593e+00,  4.18799112e+00,  1.25217095e-02,  4.07744868e+01,  1.07689067e+02,  1.14061337e+00
1.82207325e+02,  6.89307902e+00,  1.17538390e+02,  9.00422463e+00,  4.15582225e+02,  5.75725002e+00,  3.41277001e+02,  1.14656580e+01,  1.75474686e+00,  4.13818079e+00,  1.14325027e-02,  4.38221202e+01,  1.04562748e+02,  1.13257237e+00
1.12407502e+02,  6.05524597e+00,  1.26714883e+02,  1.44506267e+01,  2.97000739e+02,  5.95124697e+00,  5.18808618e+02,  8.18532352e+00,  1.36208881e+00,  4.73089143e+00,  5.99902606e-03,  4.74082894e+01,  1.06882479e+02,  1.13717610e+00
1.26103410e+02,  4.76069719e+00,  9.08869173e+01,  1.38813222e+01,  3.43841417e+02,  6.09209012e+00,  4.09207892e+02,  1.46565042e+01,  1.11461528e+00,  4.79442293e+00,  4.89858424e-03,  4.75070628e+01,  1.09187472e+02,  1.14164159e+00
1.05714075e+02,  4.83585253e+00,  1.36704350e+02,  1.50367880e+01,  2.76387324e+02,  5.72552818e+00,  4.49650597e+02,  9.09805837e+00,  1.10625036e+00,  4.88502414e+00,  4.37422775e-03,  4.86384531e+01,  1.09092756e+02,  1.14079651e+00
1.36946849e+02,  6.62988867e+00,  9.21670691e+01,  1.53252553e+01,  3.65625827e+02,  5.57385822e+00,  3.24314808e+02,  8.67542654e+00,  1.64053111e+00,  4.55102506e+00,  7.27712987e-03,  4.65799763e+01,  1.04903656e+02,  1.13511310e+00
1.46492429e+02,  5.00698160e+00,  8.68149862e+01,  1.41917117e+01,  2.91511922e+02,  6.29231574e+00,  4.03314693e+02,  1.18579128e+01,  1.17601586e+00,  4.76239515e+00,  5.35073479e-03,  4.71247352e+01,  1.08591014e+02,  1.14073357e+00
1.06794261e+02,  7.60749024e+00,  1.15232627e+02,  9.12691832e+00,  4.76138313e+02,  5.67427482e+00,  4.16886230e+02,  9.38969854e+00,  1.57606343e+00,  4.51084878e+00,  8.12668070e-03,  4.57518194e+01,  1.05453511e+02,  1.13510234e+00
1.12876163e+02,  7.68629261e+00,  9.39478415e+01,  1.20197156e+01,  3.39357406e+02,  4.05417520e+00,  3.16255192e+02,  8.10283654e+00,  1.49128952e+00,  4.70654617e+00,  7.40759997e-03,  4.52256541e+01,  1.05864227e+02,  1.13908795e+00
1.42302927e+02,  6.74916561e+00,  1.06704886e+02,  8.94827709e+00,  4.49909141e+02,  6.14837384e+00,  4.67204475e+02,  1.28895601e+01,  1.50929486e+00,  4.28543967e+00,  9.91571450e-03,  4.40773101e+01,  1.06339504e+02,  1.13541411e+00
1.42243230e+02,  6.74616327e+00,  1.15687460e+02,  1.27982271e+01,  3.72501216e+02,  5.43035312e+00,  2.98004563e+02,  1.43828331e+01,  1.61131805e+00,  4.40505986e+00,  8.71255478e-03,  4.51308928e+01,  1.05316469e+02,  1.13525418e+00
1.07893941e+02,  6.47329595e+00,  1.15858765e+02,  1.12736193e+01,  4.68034986e+02,  6.52855876e+00,  5.04222070e+02,  9.87852868e+00,  1.48063945e+00,  4.51037919e+00,  7.38247846e-03,  4.64573773e+01,  1.06212661e+02,  1.13516651e+00
1.41804879e+02,  4.41996352e+00,  1.38924453e+02,  8.56502255e+00,  3.23520135e+02,  4.10532954e+00,  3.26388116e+02,  1.01141721e+01,  6.97094212e-01,  4.13676830e+00,  9.74396669e-03,  3.79591034e+01,  1.18222193e+02,  1.15924014e+00
1.46866687e+02,  4.92159702e+00,  1.07521380e+02,  1.07087301e+01,  4.01751409e+02,  4.37884457e+00,  4.45023018e+02,  8.66562547e+00,  9.40366828e-01,  4.17474066e+00,  1.01717044e-02,  3.95751036e+01,  1.13306805e+02,  1.15101562e+00
1.22689693e+02,  6.68441326e+00,  1.00600294e+02,  1.33560335e+01,  4.43133539e+02,  3.63739613e+00,  5.09220781e+02,  9.84061215e+00,  1.34286285e+00,  4.32436131e+00,  1.05386066e-02,  4.15133686e+01,  1.07824685e+02,  1.14261421e+00
1.41366519e+02,  6.61597283e+00,  1.00564724e+02,  1.29182757e+01,  3.28586410e+02,  6.23880043e+00,  4.27655491e+02,  9.44315362e+00,  1.57287410e+00,  4.54445710e+00,  7.71626832e-03,  4.62311395e+01,  1.05424774e+02,  1.13478725e+00
1.31954196e+02,  4.61443730e+00,  1.46012189e+02,  1.46610774e+01,  4.24208531e+02,  6.29084831e+00,  5.00348792e+02,  1.06841808e+01,  1.49521922e+00,  4.54616228e+00,  6.26831013e-03,  4.79527958e+01,  1.05994249e+02,  1.13437032e+00
1.78233109e+02,  7.63226865e+00,  9.32978528e+01,  1.41600698e+01,  3.97504053e+02,  3.71698124e+00,  4.58742925e+02,  1.37768963e+01,  2.10153050e+00,  4.29524500e+00,  1.23438391e-02,  4.36493923e+01,  1.02129851e+02,  1.13112117e+00
1.39805767e+02,  5.14544614e+00,  1.45566981e+02,  8.44777117e+00,  3.27028423e+02,  5.45202387e+00,  4.21943108e+02,  1.43088172e+01,  9.38517084e-01,  4.24034421e+00,  9.32100414e-03,  4.11300866e+01,  1.13103663e+02,  1.14740543e+00
1.56350450e+02,  6.20884729e+00,  8.61425634e+01,  8.66814374e+00,  4.36400655e+02,  6.66322954e+00,  4.89328046e+02,  9.90212019e+00,  1.36866231e+00,  4.25389819e+00,  9.73388380e-03,  4.35927044e+01,  1.07702444e+02,  1.13747607e+00
1.11643504e+02,  7.23433366e+00,  9.79790308e+01,  9.00919093e+00,  3.01358228e+02,  6.12060556e+00,  2.95850941e+02,  1.23140873e+01,  1.31065875e+00,  4.71619289e+00,  6.57914695e-03,  4.62377509e+01,  1.07413233e+02,  1.13880249e+00
1.11979222e+02,  5.29476780e+00,  9.07271240e+01,  1.45338216e+01,  4.10776453e+02,  5.42627977e+00,  4.61546327e+02,  1.19844833e+01,  1.19572638e+00,  4.64860849e+00,  5.93924258e-03,  4.60623674e+01,  1.08633776e+02,  1.14164841e+00
