# a, b, af, bf, alfa1, beta1, alfa2, beta2, vol, fibstretch 
  1.61381146e+02,  5.35183036e+00,  1.16726906e+02,  1.37606279e+01,  6.38382071e-01,  4.70959660e+00,  5.77595754e-03,  4.07348821e+01,  1.16970534e+02,  1.16260920e+00
  1.22354894e+02,  4.31703759e+00,  8.45324470e+01,  1.14003126e+01,  2.45401029e-01,  4.85568646e+00,  4.08449079e-03,  3.72475007e+01,  1.30877799e+02,  1.19010620e+00
  1.07333512e+02,  4.80495429e+00,  1.44310017e+02,  9.70828196e+00,  2.92299643e-01,  4.92423743e+00,  4.50145123e-03,  3.81355496e+01,  1.27524970e+02,  1.18235787e+00
  1.83215825e+02,  7.09980640e+00,  1.18504328e+02,  8.52606401e+00,  1.33549346e+00,  4.75901499e+00,  6.17476524e-03,  4.55846665e+01,  1.07143496e+02,  1.14254521e+00
  1.62335027e+02,  4.88897528e+00,  9.26157194e+01,  9.16665616e+00,  4.43996580e-01,  4.57328880e+00,  6.64434776e-03,  3.70068244e+01,  1.23182311e+02,  1.17600445e+00
  1.24038519e+02,  6.80971014e+00,  9.77508282e+01,  9.35414371e+00,  8.06559605e-01,  5.18281787e+00,  3.99963587e-03,  4.53796965e+01,  1.12300603e+02,  1.15423324e+00
  1.86770807e+02,  4.61208674e+00,  1.21605061e+02,  1.41548027e+01,  5.43834947e-01,  4.43561747e+00,  6.96078171e-03,  3.81163970e+01,  1.20723014e+02,  1.16887967e+00
  1.83911915e+02,  7.50417327e+00,  9.82243998e+01,  1.39058445e+01,  1.67270580e+00,  4.88975486e+00,  5.75318766e-03,  4.75979808e+01,  1.04354628e+02,  1.13779244e+00
  1.12000676e+02,  7.38139844e+00,  1.50693643e+02,  1.08747604e+01,  1.01234881e+00,  5.30892584e+00,  3.82754400e-03,  4.76773533e+01,  1.09355653e+02,  1.14733182e+00
  1.37020928e+02,  7.02200201e+00,  1.45284681e+02,  9.50146070e+00,  1.02479773e+00,  5.03418856e+00,  4.82634679e-03,  4.57690304e+01,  1.09787294e+02,  1.14809539e+00
  1.24485571e+02,  4.31843799e+00,  1.18998298e+02,  9.28735001e+00,  2.53729412e-01,  4.71480787e+00,  5.19512495e-03,  3.57858314e+01,  1.31484408e+02,  1.19062451e+00
  1.20092022e+02,  5.93540612e+00,  1.39535175e+02,  1.23582149e+01,  6.06622456e-01,  5.05779940e+00,  4.37177334e-03,  4.29893999e+01,  1.16285505e+02,  1.16101696e+00
  1.09934771e+02,  6.37619417e+00,  1.03926231e+02,  1.43374648e+01,  6.69540900e-01,  5.31367249e+00,  3.35161841e-03,  4.56279892e+01,  1.14167053e+02,  1.15776350e+00
  1.81883869e+02,  4.77965739e+00,  1.10511895e+02,  1.50173259e+01,  5.72632499e-01,  4.52304031e+00,  6.32315784e-03,  3.92059523e+01,  1.19444718e+02,  1.16667869e+00
  1.28638772e+02,  7.77647420e+00,  8.49754848e+01,  1.42125856e+01,  1.33533591e+00,  5.36063395e+00,  3.56621045e-03,  4.97324516e+01,  1.06258884e+02,  1.14244320e+00
  1.93416825e+02,  4.45205769e+00,  1.23443906e+02,  1.42719256e+01,  5.27853858e-01,  4.37197687e+00,  7.25313158e-03,  3.75854819e+01,  1.21571800e+02,  1.17015275e+00
  1.70453039e+02,  4.55657207e+00,  8.52351257e+01,  8.68637688e+00,  3.88324299e-01,  4.46054316e+00,  7.27854506e-03,  3.53454878e+01,  1.26160403e+02,  1.18193489e+00
  1.57332967e+02,  7.06533004e+00,  1.37135008e+02,  1.48223923e+01,  1.31201320e+00,  4.96417993e+00,  5.22102021e-03,  4.68329391e+01,  1.07014574e+02,  1.14254234e+00
  1.46470185e+02,  7.55426999e+00,  1.47301512e+02,  9.53661151e+00,  1.34512773e+00,  5.03993699e+00,  4.91062278e-03,  4.76281350e+01,  1.06620106e+02,  1.14150696e+00
  1.13752357e+02,  6.97425582e+00,  1.43811080e+02,  1.01524632e+01,  8.50827970e-01,  5.23393600e+00,  3.99784480e-03,  4.60466607e+01,  1.11525737e+02,  1.15184287e+00
  1.39177933e+02,  4.37653130e+00,  8.85575740e+01,  8.60027245e+00,  2.76445701e-01,  4.63993097e+00,  5.76567567e-03,  3.52058821e+01,  1.30631425e+02,  1.19056443e+00
  1.75627267e+02,  4.72427634e+00,  8.67414141e+01,  8.89676817e+00,  4.41362806e-01,  4.46063857e+00,  7.41513068e-03,  3.60178569e+01,  1.23997189e+02,  1.17765041e+00
  1.51327082e+02,  4.46366210e+00,  1.47581200e+02,  1.31675934e+01,  4.07974809e-01,  4.58548257e+00,  5.71443286e-03,  3.81970845e+01,  1.24456891e+02,  1.17454266e+00
  1.07623240e+02,  7.04426571e+00,  1.47149879e+02,  8.70225036e+00,  8.04563463e-01,  5.28094008e+00,  3.80284037e-03,  4.61315290e+01,  1.12066604e+02,  1.15279929e+00
  1.77720554e+02,  4.45022240e+00,  1.04030735e+02,  9.60523581e+00,  4.09531427e-01,  4.39026127e+00,  7.76229726e-03,  3.52001146e+01,  1.25748427e+02,  1.18054340e+00
  1.31970531e+02,  5.90037467e+00,  1.12198957e+02,  1.00699811e+01,  5.98098254e-01,  4.95574142e+00,  4.84297706e-03,  4.17790752e+01,  1.16875449e+02,  1.16322991e+00
